número de nodos,total de operações
1,49
2,146
3,273
4,448
5,653
6,898
7,1173
8,1496
9,1849
10,2242
11,2665
12,3128
13,3621
14,4154
15,4717
16,5328
17,5969
18,6650
19,7361
20,8112
21,8893
22,9714
23,10565
24,11456
25,12377
26,13338
27,14329
28,15360
29,16421
30,17522
31,18653
32,19832
33,21041
34,22290
35,23569
36,24888
37,26237
38,27626
39,29045
40,30504
41,31993
42,33522
43,35081
44,36680
45,38309
46,39978
47,41677
48,43416
49,45185
50,46994
51,48833
52,50712
53,52621
54,54570
55,56549
56,58568
57,60617
58,62706
59,64825
60,66984
61,69173
62,71402
63,73661
64,75968
65,78305
66,80682
67,83089
68,85536
69,88013
70,90530
71,93077
72,95664
73,98281
74,100938
75,103625
76,106352
77,109109
78,111906
79,114733
80,117600
81,120497
82,123434
83,126401
84,129408
85,132445
86,135522
87,138629
88,141776
89,144953
90,148170
91,151417
92,154704
93,158021
94,161378
95,164765
96,168192
97,171649
98,175146
99,178673
100,182240
101,185837
102,189474
103,193141
104,196848
105,200585
106,204362
107,208169
108,212016
109,215893
110,219810
111,223757
112,227744
113,231761
114,235818
115,239905
116,244032
117,248189
118,252386
119,256613
120,260880
121,265177
122,269514
123,273881
124,278288
125,282725
126,287202
127,291709
128,296264
129,300849
130,305474
131,310129
132,314824
133,319549
134,324314
135,329109
136,333944
137,338809
138,343714
139,348649
140,353624
141,358629
142,363674
143,368749
144,373864
145,379009
146,384194
147,389409
148,394664
149,399949
150,405274
151,410629
152,416024
153,421449
154,426914
155,432409
156,437944
157,443509
158,449114
159,454749
160,460424
161,466129
162,471874
163,477649
164,483464
165,489309
166,495194
167,501109
168,507064
169,513049
170,519074
171,525129
172,531224
173,537349
174,543514
175,549709
176,555944
177,562209
178,568514
179,574849
180,581224
181,587629
182,594074
183,600549
184,607064
185,613609
186,620194
187,626809
188,633464
189,640149
190,646874
191,653629
192,660424
193,667249
194,674114
195,681009
196,687944
197,694909
198,701914
199,708949
200,716024
201,723129
202,730274
203,737449
204,744664
205,751909
206,759194
207,766509
208,773864
209,781249
